,number,ipm,rang,lemma,гуглить,твитнуть,твитить,лайкать,лайкнуть,постить,банить,спамить,свайпать,свайпнуть
0,1,12160.7,6,быть,4,5,4,4,5,3,2,3,4,5
1,2,2912.3,37,мочь,5,5,5,5,5,5,3,4,6,6
2,3,2396.6,42,сказать,3,4,3,4,5,3,3,2,3,4
3,4,1755.0,58,говорить,3,4,3,4,4,4,4,4,4,5
4,5,1713.8,61,знать,4,4,4,4,4,3,2,2,4,4
5,6,1621.8,62,стать,4,4,3,4,5,2,3,3,4,5
6,7,991.3,92,хотеть,2,3,2,3,4,2,2,3,4,5
7,8,957.1,95,идти,4,4,3,4,5,3,3,4,5,6
8,9,906.7,99,иметь,3,3,3,3,3,3,1,2,4,4
9,10,818.2,113,видеть,3,2,1,3,4,2,2,3,3,4
10,11,755.5,123,думать,3,2,2,3,3,3,1,2,4,4
11,12,743.5,124,сделать,3,4,3,4,5,4,3,2,3,4
12,13,725.5,126,жить,4,5,4,4,5,4,3,4,5,6
13,14,701.1,134,делать,2,3,2,3,4,3,2,3,4,5
14,15,667.2,136,смотреть,4,3,3,4,5,4,4,3,3,4
15,16,611.2,148,работать,4,4,3,4,4,3,3,3,5,5
16,17,588.2,152,понять,3,3,3,3,3,2,0,1,4,4
17,18,587.2,153,пойти,4,5,4,3,4,2,3,4,4,5
18,19,573.9,155,спросить,5,5,4,5,5,3,3,2,4,5
19,20,573.1,157,дать,4,4,3,4,5,3,3,4,5,6
20,21,559.7,160,понимать,4,4,4,4,3,3,2,3,5,4
21,22,557.7,161,получить,4,5,4,4,4,3,3,4,5,5
22,23,538.1,169,сидеть,3,3,2,3,4,2,2,2,3,4
23,24,531.9,172,оказаться,5,6,5,6,6,5,5,5,6,6
24,25,525.8,175,взять,4,4,3,4,5,3,3,4,4,5
25,26,523.3,176,прийти,5,5,4,4,5,3,4,5,4,5
26,27,522.9,177,являться,4,6,5,5,6,5,5,6,6,7
27,28,503.1,181,любить,3,4,3,2,3,3,2,3,3,4
28,29,501.9,182,стоить,4,4,3,4,5,2,3,3,4,5
29,30,482.7,194,остаться,5,6,5,5,6,3,5,4,5,6
30,31,480.9,195,выйти,4,4,3,3,4,3,4,5,3,4
31,32,473.3,198,начать,3,4,3,3,4,3,2,3,4,5
32,33,455.3,206,считать,3,3,2,3,4,2,2,3,4,5
33,34,452.4,209,увидеть,4,2,1,4,4,3,3,3,3,4
34,35,448.2,211,казаться,4,6,5,5,5,4,4,5,6,6
35,36,444.3,213,писать,3,4,3,3,4,1,1,2,4,5
36,37,424.1,222,найти,4,5,4,3,4,3,4,5,4,5
37,38,419.3,224,стоять,4,4,4,3,4,3,3,3,3,4
38,39,409.7,232,решить,3,4,3,3,4,3,2,3,4,5
39,40,398.4,242,пройти,5,5,4,4,5,3,4,5,4,5
40,41,386.9,251,принять,4,3,3,4,4,3,1,2,4,4
41,42,370.7,262,давать,3,3,2,3,4,3,2,3,4,5
42,43,370.4,263,ответить,5,2,1,5,5,4,4,4,4,5
43,44,363.1,269,помнить,3,3,3,3,3,2,0,1,4,4
44,45,360.2,271,ждать,4,4,3,4,5,3,3,4,5,6
45,46,342.7,287,находиться,5,6,5,5,6,5,5,6,7,7
46,47,336.2,294,написать,4,5,4,4,4,3,3,3,5,5
47,48,327.4,304,оставаться,7,6,5,7,7,5,6,5,6,6
48,49,319.1,310,играть,2,4,4,3,3,3,3,4,4,5
49,50,318.1,312,лежать,3,4,3,2,3,3,2,3,4,5
50,51,315.6,316,подумать,4,3,4,4,3,3,2,3,5,4
51,52,315.6,317,уйти,4,5,4,3,4,3,4,5,4,5
52,53,314.2,321,посмотреть,6,5,5,6,6,3,4,5,5,6
53,54,311.2,325,вернуться,5,4,5,5,5,5,4,5,5,5
54,55,305.1,331,следовать,5,4,4,4,4,5,5,4,4,4
55,56,304.4,332,читать,3,3,2,3,4,2,2,3,4,5
56,57,297.3,341,бывать,3,4,3,3,4,2,1,2,4,5
57,58,296.6,342,ходить,2,3,2,3,4,2,2,3,4,5
58,59,296.0,344,начинать,4,4,4,4,3,4,3,3,5,4
59,60,294.6,345,появиться,6,6,5,6,6,5,4,5,6,6
60,61,293.4,348,называть,4,5,4,4,4,3,4,4,5,5
61,62,285.5,358,прийтись,5,5,4,4,5,3,4,5,4,5
62,63,285.3,359,хотеться,4,5,4,5,5,4,4,5,6,6
63,64,280.3,371,вести,4,4,3,4,5,2,4,5,4,5
64,65,277.7,375,показать,3,5,4,4,4,3,3,4,5,5
65,66,267.3,391,поставить,5,5,5,5,5,2,4,4,5,6
66,67,266.5,392,бояться,5,5,4,5,5,3,3,4,5,6
67,68,263.6,395,происходить,5,6,5,5,5,3,5,5,6,6
68,69,260.9,401,существовать,8,7,6,8,8,6,8,7,7,7
69,70,259.3,404,становиться,7,7,6,7,7,7,6,5,6,6
70,71,256.1,411,слышать,4,4,3,3,4,4,3,2,3,4
