number,lemma,ipm,rang
1,быть,12160.7,6
2,мочь,2912.3,37
3,сказать,2396.6,42
4,говорить,1755,58
5,знать,1713.8,61
6,стать,1621.8,62
7,хотеть,991.3,92
8,идти,957.1,95
9,иметь,906.7,99
10,видеть,818.2,113
11,думать,755.5,123
12,сделать,743.5,124
13,жить,725.5,126
14,делать,701.1,134
15,смотреть,667.2,136
16,работать,611.2,148
17,понять,588.2,152
18,пойти,587.2,153
19,спросить,573.9,155
20,дать,573.1,157
21,понимать,559.7,160
22,получить,557.7,161
23,сидеть,538.1,169
24,оказаться,531.9,172
25,взять,525.8,175
26,прийти,523.3,176
27,являться,522.9,177
28,любить,503.1,181
29,стоить,501.9,182
30,остаться,482.7,194
31,выйти,480.9,195
32,начать,473.3,198
33,считать,455.3,206
34,увидеть,452.4,209
35,казаться,448.2,211
36,писать,444.3,213
37,найти,424.1,222
38,стоять,419.3,224
39,решить,409.7,232
40,пройти,398.4,242
41,принять,386.9,251
42,давать,370.7,262
43,ответить,370.4,263
44,помнить,363.1,269
45,ждать,360.2,271
46,находиться,342.7,287
47,написать,336.2,294
48,оставаться,327.4,304
49,играть,319.1,310
50,лежать,318.1,312
51,подумать,315.6,316
52,уйти,315.6,317
53,посмотреть,314.2,321
54,вернуться,311.2,325
55,следовать,305.1,331
56,читать,304.4,332
57,бывать,297.3,341
58,ходить,296.6,342
59,начинать,296,344
60,появиться,294.6,345
61,называть,293.4,348
62,прийтись,285.5,358
63,хотеться,285.3,359
64,вести,280.3,371
65,показать,277.7,375
66,поставить,267.3,391
67,бояться,266.5,392
68,происходить,263.6,395
69,существовать,260.9,401
70,становиться,259.3,404
71,слышать,256.1,411
72,смочь,255.1,413
73,заметить,253.9,414
74,использовать,249.6,422
75,пытаться,249.4,423
76,представить,247.2,427
77,чувствовать,246.9,428
78,создать,245.9,429
79,заниматься,240.8,440
80,продолжать,240.6,441
81,слушать,239.5,445
82,узнать,238.1,447
83,приехать,234.4,456
84,отвечать,232.4,459
85,рассказывать,230,465
86,рассказать,229.4,468
87,представлять,228.5,470
88,брать,226.3,477
89,забыть,226,478
90,провести,222,485
91,спать,221.9,486
92,помочь,218.8,497
93,приходить,218.2,499
94,просить,215.9,503
95,вспомнить,215.5,504
96,открыть,214.8,505
97,привести,214.7,506
98,оставить,210.5,515
99,спрашивать,208.3,520
100,принимать,207.7,521
101,искать,206.9,523
102,войти,205.5,531
103,назвать,205.1,534
104,успеть,203.4,540
105,произойти,203.2,541
106,выходить,201.6,547
107,предложить,201.2,549
108,пить,200.9,551
109,глядеть,199.3,554
110,ехать,198.2,560
111,попасть,197.7,565
112,начаться,197.4,567
113,верить,197.1,568
114,держать,196.5,573
115,позволять,194.3,575
116,купить,192.7,580
117,уходить,192.7,581
118,собираться,192.6,582
119,относиться,191.6,585
120,требовать,190.9,587
121,подойти,190,592
122,удаться,189.1,594
123,получать,188.2,596
124,умереть,179.7,622
125,сесть,175.9,636
126,случиться,175.8,638
127,проходить,175.4,642
128,составлять,175,643
129,приходиться,174.5,646
130,установить,174,649
131,поднять,173.8,652
132,стараться,172.8,656
133,уметь,172.5,657
134,встать,172.1,658
135,проводить,167.6,678
136,бросить,166.5,683
