,number,ipm,rang,lemma,гуглить,твитнуть,твитить,лайкать,лайкнуть,постить,банить,спамить,свайпать,свайпнуть
0,1,12160.7,6,быть,5,6,5,5,6,5,3,5,6,7
1,2,2912.3,37,мочь,6,7,6,6,7,5,5,5,7,8
2,3,2396.6,42,сказать,5,6,5,4,6,5,4,3,3,5
3,4,1755.0,58,говорить,4,6,4,6,6,4,5,5,6,7
4,5,1713.8,61,знать,5,5,5,4,5,5,3,4,5,6
5,6,1621.8,62,стать,5,5,4,4,6,3,4,3,4,5
6,7,991.3,92,хотеть,5,5,4,5,6,3,4,5,6,7
7,8,957.1,95,идти,6,6,5,6,7,5,5,6,7,8
8,9,906.7,99,иметь,5,5,4,5,6,5,4,4,6,7
9,10,818.2,113,видеть,5,4,3,5,6,5,4,5,5,6
10,11,755.5,123,думать,4,6,5,4,6,5,4,4,5,7
11,12,743.5,124,сделать,4,6,5,4,6,5,5,4,4,6
12,13,725.5,126,жить,4,5,4,5,6,4,3,4,6,7
13,14,701.1,134,делать,4,6,5,4,6,5,4,5,5,7
14,15,667.2,136,смотреть,6,5,5,6,6,5,6,5,5,6
15,16,611.2,148,работать,6,6,5,4,5,5,5,6,5,6
16,17,588.2,152,понять,5,5,5,5,5,3,3,4,6,6
17,18,587.2,153,пойти,6,7,5,5,6,3,5,5,6,7
18,19,573.9,155,спросить,5,6,5,6,6,3,5,3,5,6
19,20,573.1,157,дать,5,6,5,4,5,5,3,4,5,6
20,21,559.7,160,понимать,6,6,5,5,6,4,4,5,5,7
21,22,557.7,161,получить,5,6,5,6,6,3,5,5,6,7
22,23,538.1,169,сидеть,5,5,4,5,6,5,4,4,5,6
23,24,531.9,172,оказаться,7,8,7,6,8,7,6,6,6,8
24,25,525.8,175,взять,5,5,4,5,6,5,4,5,5,6
25,26,523.3,176,прийти,6,6,5,6,7,5,5,5,6,7
26,27,522.9,177,являться,6,7,6,7,8,7,6,7,7,8
27,28,503.1,181,любить,4,6,4,4,5,4,3,4,6,7
28,29,501.9,182,стоить,4,5,4,5,6,3,3,3,5,6
29,30,482.7,194,остаться,7,7,6,6,8,4,6,6,7,8
30,31,480.9,195,выйти,6,6,5,5,6,5,5,6,5,6
31,32,473.3,198,начать,5,6,5,3,5,5,3,4,4,6
32,33,455.3,206,считать,5,4,3,4,6,4,5,4,4,6
33,34,452.4,209,увидеть,5,4,3,5,6,5,5,5,5,6
34,35,448.2,211,казаться,7,8,7,5,7,7,5,6,6,8
35,36,444.3,213,писать,5,5,4,4,6,3,4,4,5,7
36,37,424.1,222,найти,6,7,5,4,5,5,4,5,5,6
37,38,419.3,224,стоять,5,5,5,5,6,4,4,4,5,6
38,39,409.7,232,решить,4,6,4,5,6,4,3,4,6,7
39,40,398.4,242,пройти,6,7,6,6,7,4,5,5,6,7
40,41,386.9,251,принять,5,4,4,5,5,4,4,5,6,6
41,42,370.7,262,давать,5,6,5,3,5,5,3,4,4,6
42,43,370.4,263,ответить,5,4,2,6,6,4,5,5,6,7
43,44,363.1,269,помнить,4,5,4,5,5,2,3,3,6,6
44,45,360.2,271,ждать,5,6,5,4,6,5,4,4,5,6
45,46,342.7,287,находиться,7,8,7,7,7,7,6,7,8,8
46,47,336.2,294,написать,6,6,5,4,5,5,4,5,5,6
47,48,327.4,304,оставаться,8,8,7,7,8,6,7,6,6,8
48,49,319.1,310,играть,4,5,5,4,6,5,4,5,5,7
49,50,318.1,312,лежать,5,6,5,3,5,5,4,5,5,7
50,51,315.6,316,подумать,6,6,6,5,6,4,6,5,5,7
51,52,315.6,317,уйти,5,7,5,5,6,5,5,6,6,7
52,53,314.2,321,посмотреть,8,7,7,8,8,4,8,7,7,8
53,54,311.2,325,вернуться,7,5,7,7,6,7,6,7,7,6
54,55,305.1,331,следовать,7,7,7,5,6,7,7,6,5,6
55,56,304.4,332,читать,5,4,3,4,6,4,4,5,5,7
56,57,297.3,341,бывать,5,6,5,4,6,5,3,5,5,6
57,58,296.6,342,ходить,4,6,4,5,6,3,3,4,6,7
58,59,296.0,344,начинать,6,5,5,4,4,6,4,5,5,5
59,60,294.6,345,появиться,6,7,6,7,8,4,6,6,8,9
60,61,293.4,348,называть,6,6,6,4,5,6,5,6,5,6
61,62,285.5,358,прийтись,6,6,4,6,7,4,6,6,6,7
62,63,285.3,359,хотеться,7,7,6,7,8,5,6,7,8,9
63,64,280.3,371,вести,6,6,5,6,7,4,5,6,6,7
64,65,277.7,375,показать,6,6,6,5,6,4,5,5,5,7
65,66,267.3,391,поставить,6,6,5,6,7,2,5,4,6,7
66,67,266.5,392,бояться,7,7,6,7,8,5,5,7,8,9
67,68,263.6,395,происходить,8,8,7,9,9,5,8,7,9,9
68,69,260.9,401,существовать,9,9,8,9,10,8,10,9,8,9
69,70,259.3,404,становиться,8,8,7,8,8,8,6,6,7,7
70,71,256.1,411,слышать,5,6,5,4,6,5,5,4,4,6
71,72,255.1,413,смочь,6,7,6,6,7,5,5,4,6,7
72,73,253.9,414,заметить,5,6,4,5,5,4,4,4,6,6
73,74,249.6,422,использовать,9,10,10,8,9,8,10,8,8,9
74,75,249.4,423,пытаться,7,7,6,6,8,5,6,6,7,9
75,76,247.2,427,представить,8,8,7,8,9,5,7,6,8,9
76,77,246.9,428,чувствовать,8,7,7,8,9,7,9,8,7,8
77,78,245.9,429,создать,5,6,5,4,6,4,5,4,4,6
78,79,240.8,440,заниматься,8,8,7,6,7,8,5,7,7,8
79,80,240.6,441,продолжать,7,8,8,7,8,6,8,8,7,8
80,81,239.5,445,слушать,5,6,5,4,6,5,5,4,4,6
81,82,238.1,447,узнать,4,5,5,4,5,5,3,5,5,6
82,83,234.4,456,приехать,6,5,5,5,6,5,6,6,5,7
83,84,232.4,459,отвечать,6,5,4,5,6,6,6,6,5,7
84,85,230.0,465,рассказывать,10,10,10,7,8,9,9,8,7,8
85,86,229.4,468,рассказать,8,8,8,5,6,7,7,6,6,8
86,87,228.5,470,представлять,9,9,9,9,10,7,9,8,8,9
87,88,226.3,477,брать,5,6,5,4,6,5,3,4,5,6
88,89,226.0,478,забыть,5,6,5,4,5,5,3,4,5,6
89,90,222.0,485,провести,7,7,7,7,7,5,7,7,7,8
90,91,221.9,486,спать,5,6,5,4,6,4,4,2,3,5
91,92,218.8,497,помочь,6,7,6,6,7,4,5,4,7,8
92,93,218.2,499,приходить,6,6,5,7,7,5,6,6,7,7
93,94,215.9,503,просить,4,6,4,5,6,2,4,4,6,7
94,95,215.5,504,вспомнить,6,6,6,7,6,4,5,3,6,6
95,96,214.8,505,открыть,5,6,5,5,5,5,5,5,6,7
96,97,214.7,506,привести,7,6,6,7,7,6,7,7,7,8
97,98,210.5,515,оставить,5,6,5,6,6,3,4,3,5,6
98,99,208.3,520,спрашивать,7,8,7,6,7,6,6,4,5,6
99,100,207.7,521,принимать,6,6,5,6,7,5,5,6,6,7
100,101,206.9,523,искать,5,5,5,3,5,4,4,4,5,6
101,102,205.5,531,войти,6,6,5,5,6,4,5,6,5,6
102,103,205.1,534,назвать,5,6,5,3,5,5,4,5,4,6
103,104,203.4,540,успеть,4,6,5,5,6,4,4,4,5,6
104,105,203.2,541,произойти,8,7,7,8,8,6,7,7,8,8
105,106,201.6,547,выходить,5,6,5,6,6,5,5,5,6,6
106,107,201.2,549,предложить,6,8,7,8,8,6,7,7,8,8
107,108,200.9,551,пить,4,5,4,5,6,3,3,3,5,6
108,109,199.3,554,глядеть,4,6,5,5,6,5,5,5,6,7
109,110,198.2,560,ехать,5,6,5,4,6,5,4,4,5,6
110,111,197.7,565,попасть,5,6,5,5,6,3,5,4,5,6
111,112,197.4,567,начаться,7,8,7,5,7,7,5,6,6,8
112,113,197.1,568,верить,4,5,3,5,6,4,3,4,5,6
113,114,196.5,573,держать,5,6,5,4,6,5,5,5,5,7
114,115,194.3,575,позволять,6,7,6,7,7,5,7,7,7,7
115,116,192.7,580,купить,3,6,4,5,6,4,3,4,5,6
116,117,192.7,581,уходить,4,6,4,5,6,4,4,4,6,7
117,118,192.6,582,собираться,8,8,7,7,8,7,7,7,6,8
118,119,191.6,585,относиться,7,8,6,8,8,6,6,7,8,9
119,120,190.9,587,требовать,7,6,6,6,7,7,6,7,6,7
120,121,190.0,592,подойти,6,7,6,6,7,4,6,6,7,8
