LOAN,LOANSUFFVOWEL,VERB,VERBAFFVOWEL,FONETIKA,LEVENSTEIN,VERBFREQ
банить,и,быть,OTHER,2,3,12160.7
банить,и,мочь,OTHER,3,5,2912.3
банить,и,сказать,OTHER,3,4,2396.6
банить,и,говорить,OTHER,4,5,1755
банить,и,знать,OTHER,2,3,1713.8
банить,и,стать,OTHER,3,4,1621.8
банить,и,хотеть,OTHER,2,4,991.3
банить,и,идти,OTHER,3,5,957.1
банить,и,иметь,OTHER,1,4,906.7
банить,и,видеть,OTHER,2,4,818.2
банить,и,думать,OTHER,1,4,755.5
банить,и,сделать,OTHER,3,5,743.5
банить,и,жить,OTHER,3,3,725.5
банить,и,делать,OTHER,2,4,701.1
банить,и,смотреть,OTHER,4,6,667.2
банить,и,работать,OTHER,3,5,611.2
банить,и,понять,OTHER,0,3,588.2
банить,и,пойти,OTHER,3,5,587.2
банить,и,спросить,OTHER,3,5,573.9
банить,и,дать,OTHER,3,3,573.1
банить,и,понимать,OTHER,2,4,559.7
банить,и,получить,OTHER,3,5,557.7
банить,и,сидеть,OTHER,2,4,538.1
банить,и,оказаться,OTHER,5,6,531.9
банить,и,взять,OTHER,3,4,525.8
банить,и,прийти,OTHER,4,5,523.3
банить,и,являться,OTHER,5,6,522.9
банить,и,любить,OTHER,2,3,503.1
банить,и,стоить,OTHER,3,3,501.9
банить,и,остаться,OTHER,5,6,482.7
банить,и,выйти,OTHER,4,5,480.9
банить,и,начать,OTHER,2,3,473.3
банить,и,считать,OTHER,2,5,455.3
банить,и,увидеть,OTHER,3,5,452.4
банить,и,казаться,OTHER,4,5,448.2
банить,и,писать,OTHER,1,4,444.3
банить,и,найти,OTHER,4,4,424.1
банить,и,стоять,OTHER,3,4,419.3
банить,и,решить,OTHER,2,3,409.7
банить,и,пройти,OTHER,4,5,398.4
банить,и,принять,OTHER,1,4,386.9
банить,и,давать,OTHER,2,3,370.7
банить,и,ответить,OTHER,4,5,370.4
банить,и,помнить,OTHER,0,3,363.1
банить,и,ждать,OTHER,3,4,360.2
банить,и,находиться,OTHER,5,6,342.7
банить,и,написать,OTHER,3,4,336.2
банить,и,оставаться,OTHER,6,7,327.4
банить,и,играть,OTHER,3,4,319.1
банить,и,лежать,OTHER,2,4,318.1
банить,и,подумать,OTHER,2,6,315.6
банить,и,уйти,OTHER,4,5,315.6
банить,и,посмотреть,OTHER,4,8,314.2
банить,и,вернуться,OTHER,4,6,311.2
банить,и,следовать,OTHER,5,7,305.1
банить,и,читать,OTHER,2,4,304.4
банить,и,бывать,OTHER,1,3,297.3
банить,и,ходить,OTHER,2,3,296.6
банить,и,начинать,OTHER,3,4,296
