LOAN,LOANSUFFVOWEL,VERB,VERBAFFVOWEL,FONETIKA,LEVENSTEIN,VERBFREQ
банить,и,быть,ть,2,3,12160.7
банить,и,мочь,чь,3,5,2912.3
банить,и,сказать,а,3,4,2396.6
банить,и,говорить,е,4,5,1755
банить,и,знать,ть,2,3,1713.8
банить,и,стать,а,3,4,1621.8
банить,и,хотеть,е,2,4,991.3
банить,и,идти,ти,3,5,957.1
банить,и,иметь,е,1,4,906.7
банить,и,видеть,е,2,4,818.2
банить,и,думать,а,1,4,755.5
банить,и,сделать,а,3,5,743.5
банить,и,жить,ть,3,3,725.5
банить,и,делать,а,2,4,701.1
банить,и,смотреть,е,4,6,667.2
банить,и,работать,а,3,5,611.2
банить,и,понять,я,0,3,588.2
банить,и,пойти,ти,3,5,587.2
банить,и,спросить,е,3,5,573.9
банить,и,дать,ть,3,3,573.1
банить,и,понимать,а,2,4,559.7
банить,и,получить,е,3,5,557.7
банить,и,сидеть,е,2,4,538.1
банить,и,оказаться,а,5,6,531.9
банить,и,взять,ть,3,4,525.8
банить,и,прийти,ти,4,5,523.3
банить,и,являться,я,5,6,522.9
банить,и,любить,е,2,3,503.1
банить,и,стоить,е,3,3,501.9
банить,и,остаться,а,5,6,482.7
банить,и,выйти,ти,4,5,480.9
банить,и,начать,а,2,3,473.3
банить,и,считать,а,2,5,455.3
банить,и,увидеть,е,3,5,452.4
банить,и,казаться,а,4,5,448.2
банить,и,писать,а,1,4,444.3
банить,и,найти,ти,4,4,424.1
банить,и,стоять,я,3,4,419.3
банить,и,решить,е,2,3,409.7
банить,и,пройти,ти,4,5,398.4
банить,и,принять,я,1,4,386.9
банить,и,давать,а,2,3,370.7
банить,и,ответить,е,4,5,370.4
банить,и,помнить,е,0,3,363.1
банить,и,ждать,а,3,4,360.2
банить,и,находиться,е,5,6,342.7
банить,и,написать,а,3,4,336.2
банить,и,оставаться,а,6,7,327.4
банить,и,играть,а,3,4,319.1
банить,и,лежать,а,2,4,318.1
банить,и,подумать,а,2,6,315.6
банить,и,уйти,ти,4,5,315.6
банить,и,посмотреть,е,4,8,314.2
банить,и,вернуться,у,4,6,311.2
банить,и,следовать,а,5,7,305.1
банить,и,читать,а,2,4,304.4
банить,и,бывать,а,1,3,297.3
банить,и,ходить,е,2,3,296.6
банить,и,начинать,а,3,4,296
банить,и,появиться,е,4,6,294.6
банить,и,называть,а,4,5,293.4
банить,и,прийтись,ти,4,6,285.5
банить,и,хотеться,е,4,6,285.3
банить,и,вести,ти,4,5,280.3
банить,и,показать,а,3,5,277.7
банить,и,поставить,е,4,5,267.3
банить,и,бояться,я,3,5,266.5
банить,и,происходить,е,5,8,263.6
банить,и,существовать,а,8,10,260.9
банить,и,становиться,и,6,6,259.3
банить,и,слышать,а,3,5,256.1
банить,и,смочь,чь,3,5,255.1
банить,и,заметить,и,3,4,253.9
банить,и,использовать,а,6,10,249.6
банить,и,пытаться,а,3,6,249.4
банить,и,представить,и,5,7,247.2
банить,и,чувствовать,а,6,9,246.9
банить,и,создать,а,3,5,245.9
банить,и,заниматься,а,5,5,240.8
банить,и,продолжать,а,5,8,240.6
банить,и,слушать,а,3,5,239.5
банить,и,узнать,а,2,3,238.1
банить,и,приехать,а,3,6,234.4
банить,и,отвечать,а,4,6,232.4
банить,и,рассказывать,а,7,9,230
банить,и,рассказать,а,5,7,229.4
банить,и,представлять,я,6,9,228.5
банить,и,брать,а,2,3,226.3
банить,и,забыть,ть,2,3,226
банить,и,провести,ти,4,7,222
банить,и,спать,а,3,4,221.9
банить,и,помочь,чь,1,5,218.8
банить,и,приходить,и,4,6,218.2
банить,и,просить,и,2,4,215.9
банить,и,вспомнить,и,2,5,215.5
банить,и,открыть,ть,4,5,214.8
банить,и,привести,ти,4,7,214.7
банить,и,оставить,и,4,4,210.5
банить,и,спрашивать,а,5,6,208.3
банить,и,принимать,а,3,5,207.7
банить,и,искать,а,3,4,206.9
банить,и,войти,ти,4,5,205.5
банить,и,назвать,а,3,4,205.1
банить,и,успеть,е,3,4,203.4
банить,и,произойти,ти,4,7,203.2
банить,и,выходить,и,4,5,201.6
банить,и,предложить,и,5,7,201.2
банить,и,пить,ть,2,3,200.9
банить,и,глядеть,е,3,5,199.3
банить,и,ехать,а,2,4,198.2
банить,и,попасть,а,2,5,197.7
банить,и,начаться,а,4,5,197.4
банить,и,верить,и,2,3,197.1
банить,и,держать,а,3,5,196.5
банить,и,позволять,я,4,7,194.3
банить,и,купить,и,2,3,192.7
банить,и,уходить,и,3,4,192.7
банить,и,собираться,а,5,7,192.6
банить,и,относиться,и,6,6,191.6
банить,и,требовать,а,4,6,190.9
банить,и,подойти,ти,3,6,190
банить,и,удаться,а,4,6,189.1
банить,и,получать,а,3,6,188.2
банить,и,умереть,е,3,5,179.7
банить,и,сесть,ть,3,4,175.9
банить,и,случиться,и,5,6,175.8
банить,и,проходить,и,4,6,175.4
банить,и,составлять,я,6,7,175
банить,и,приходиться,и,5,8,174.5
банить,и,установить,и,5,5,174
банить,и,поднять,я,1,4,173.8
банить,и,стараться,а,5,6,172.8
банить,и,уметь,е,1,4,172.5
банить,и,встать,а,3,4,172.1
банить,и,проводить,и,4,6,167.6
банить,и,бросить,и,2,3,166.5
банить,и,объяснить,и,3,4,161.4
банить,и,снять,я,2,3,161.3
банить,и,нравиться,и,5,5,160.6
банить,и,услышать,а,4,6,160.4
банить,и,связать,а,3,5,160.2
банить,и,позволить,и,4,6,159.6
банить,и,поехать,а,2,5,158.4
банить,и,положить,и,3,5,158.1
банить,и,входить,и,3,4,157.9
банить,и,оказываться,а,7,8,155.1
банить,и,показывать,а,5,7,155
банить,и,вызвать,а,3,5,154.9
банить,и,касаться,а,4,5,154.7
банить,и,отметить,и,4,5,154.3
банить,и,заявить,и,3,3,154.2
банить,и,действовать,а,7,9,153.5
банить,и,получиться,и,5,7,149.3
банить,и,кричать,а,3,5,147.3
банить,и,остановиться,и,7,7,147
банить,и,предлагать,а,5,7,145.9
банить,и,убить,и,2,3,144.7
банить,и,молчать,а,3,5,144.5
банить,и,согласиться,и,7,7,144.2
банить,и,сообщить,и,3,5,143.8
банить,и,бежать,а,1,3,143.6
банить,и,петь,ть,2,4,143.2
банить,и,вызывать,а,4,6,142.4
банить,и,показаться,а,5,7,142.4
банить,и,принести,ти,3,6,141.9
банить,и,выглядеть,е,5,7,141.7
банить,и,служить,и,3,4,140.3
банить,и,попросить,и,4,6,140.2
банить,и,состоять,я,4,6,139.9
банить,и,отдать,ть,2,4,139.8
банить,и,выступать,а,5,7,138.8
банить,и,ставить,и,3,3,138.7
банить,и,возникать,а,4,5,138.4
банить,и,надеяться,я,5,6,137.1
банить,и,подняться,я,3,6,136.2
банить,и,вспоминать,а,4,7,135.9
банить,и,называться,а,6,7,135.3
банить,и,помогать,а,2,6,134.5
банить,и,значить,и,3,3,134
банить,и,возникнуть,у,5,6,133.6
банить,и,звать,а,3,4,131.3
банить,и,позвонить,и,3,5,131
банить,и,хватать,а,3,4,130.9
банить,и,выпить,и,2,3,129.9
банить,и,потерять,я,3,6,129.2
банить,и,иметься,е,3,6,128.4
банить,и,получаться,а,5,8,127
банить,и,учиться,и,4,5,126.9
банить,и,возвращаться,а,8,9,125.8
банить,и,расти,ти,4,4,125.8
банить,и,обнаружить,и,5,5,125
банить,и,почувствовать,а,7,11,124.2
банить,и,передать,ть,3,6,123.5
банить,и,желать,ть,2,4,123.1
банить,и,ожидать,а,3,5,123
банить,и,составить,и,5,5,121.6
банить,и,нести,ти,4,5,120.6
банить,и,определить,и,5,7,120.6
банить,и,пользоваться,а,6,10,120.1
банить,и,улыбнуться,у,5,7,119
банить,и,появляться,я,5,8,118.4
банить,и,смеяться,я,5,6,117.9
банить,и,уехать,а,2,4,117.4
банить,и,подходить,и,4,6,116.9
банить,и,судить,и,2,3,116.8
банить,и,родиться,и,4,5,116.7
банить,и,отказаться,а,6,7,115.8
банить,и,считаться,а,4,7,115.7
банить,и,занять,я,1,2,115.6
банить,и,добавить,и,3,3,115.5
банить,и,звонить,и,2,3,115.4
банить,и,носить,и,2,3,115.3
банить,и,начинаться,а,5,6,115.1
банить,и,зависеть,е,4,4,115
банить,и,построить,и,3,6,114.9
банить,и,создавать,а,5,6,114.1
банить,и,принадлежать,а,6,6,113.5
